y	x
1784	86
1756	106
1754	62
1723	57
1717	83
1714	210
1702	406
1684	94
1691	207
1679	117
1669	370
1668	389
1662	99
1684	319
1656	527
1656	246
1646	86
1641	216
1638	65
1635	4
1629	305
1617	1
1626	343
1624	434
1617	401
1600	570
1597	648
1590	468
1591	687
1587	440
1572	656
1572	579
1570	265
1570	731
1570	397
1567	149
1564	1938
1542	444
1549	1712
1542	780
1538	1550
1539	620
1529	331
1528	818
1523	1657
1523	1606
1526	1486
1521	423
1517	1524
1519	849
1516	1706
1513	1414
1505	269
1499	419
1498	871
1497	185
1507	1441
1489	360
1484	2303
1482	453
1478	2461
1475	615
1475	873
1463	914
1456	838
1453	400
1446	937
1448	1487
1449	886
1443	464
1449	289
1437	860
1423	387
1417	938
1414	2419
1425	979
1417	628
1411	1502
1409	1911
1409	416
1399	2226
1402	706
1396	946
1399	2084
1393	1151
1389	461
1389	1571
1386	905
1383	1013
1381	2049
1381	350
1371	619
1381	1050
1366	982
1365	1658
1360	1142
1352	1416
1350	1484
1345	2167
1346	1764
1339	2234
1334	660
1334	1583
1332	1115
1324	305
1322	1216
1343	1626
1309	2270
1312	961
1308	1874
1306	2218
1301	2044
1296	1956
1292	742
1289	2105
1289	1890
1288	342
1285	1243
1282	2169
1287	1115
1282	1045
1280	2074
1278	656
1292	1008
1277	2276
1272	2136
1273	2220
1270	1783
1269	1712
1263	757
1256	794
1255	1416
1264	972
1244	693
1243	1651
1240	2148
1247	2064
1239	1352
1242	2174
1238	2096
1237	1083
1232	804
1238	1679
1232	1627
1230	981
1227	1712
1226	886
1223	1552
1219	1440
1216	2170
1215	2061
1214	855
1211	2094
1211	1470
1212	828
1208	1129
1205	2207
1206	1876
1201	989
1203	1280
1211	1055
1200	2042
1199	1775
1200	1016
1199	955
1203	793
1195	763
1194	2072
1193	689
1193	1220
1191	1480
1194	898
1187	1799
1186	2165
1198	2119
1188	1687
1195	1658
1183	1200
1184	625
1181	1130
1179	1413
1178	1511
1176	2214
1175	856
1173	941
1172	1594
1174	1347
1175	1097
1183	1445
1173	1628
1174	1011
1163	2071
1160	1388
1156	1579
1157	909
1155	1536
1152	1415
1158	723
1157	1483
1163	1296
1149	1608
1147	1234
1138	1560
1139	1082
1138	1644
1139	1327
1132	905
1122	679
1121	1375
1118	1602
1105	1790
1103	1542
1100	1576
1095	1505
1071	1180
1036	1578
1017	1372
299	2165
