y	x
2039	2082
2037	1624
2034	303
2035	2041
2032	1587
2036	1556
2036	1917
2035	2134
2025	1394
2026	597
2020	49
2023	1439
2016	72
2017	1881
2028	1849
2027	1527
2013	1467
2018	9
2018	1498
2002	133
2006	2040
1996	617
2000	1752
1994	1869
1993	298
2010	1989
1989	549
1986	1544
1982	1781
1982	72
1979	143
1977	1379
1975	1425
1972	1976
1976	1827
1970	627
1969	1564
1962	190
1963	311
1957	129
1956	1888
1959	569
1952	1396
1953	1747
1942	2527
1940	266
1943	68
1940	1874
1931	236
1933	10
1927	1766
1924	166
1927	505
1917	135
1923	655
1913	298
1905	1775
1899	2543
1896	390
1899	356
1884	54
1893	44
1894	2492
1891	316
1890	1856
1876	136
1878	665
1865	2547
1863	351
1862	525
1868	2427
1855	1775
1839	2408
1850	739
1832	1115
1832	1699
1824	2328
1822	706
1812	2521
1812	2411
1800	1094
1801	2538
1796	2495
1796	1737
1794	2461
1792	1151
1783	1009
1783	928
1768	1030
1767	2437
1752	2519
1747	2472
1745	812
1744	1495
1740	2549
1740	1042
1755	1931
1740	1154
1730	1116
1730	2429
1710	2482
1704	1067
1704	2506
1706	2359
1703	1479
1709	1728
1696	1761
1692	2317
1698	1645
1703	705
1698	1955
1689	2436
1682	1277
1692	2387
1678	1071
1691	942
1681	2486
1689	1001
1674	2515
1689	745
1670	2315
1670	1028
1663	1770
1673	1708
1654	1064
1650	2402
1645	694
1642	1756
1648	2548
1638	1544
1651	1805
1633	2509
1632	1010
1641	738
1621	1757
1613	2433
1611	2233
1605	1776
1603	1539
1602	2527
1600	2259
1595	1509
1593	2439
1597	1843
1590	2474
1584	935
1584	2288
1576	2497
1569	1784
1556	225
1548	2312
1551	2522
1542	148
1531	191
1526	2464
1512	1527
1518	2492
1503	1308
1499	2512
1501	1603
1493	127
1491	2461
1515	1894
1485	1923
1476	1829
1476	2401
1476	487
1476	2145
1473	603
1470	1296
1465	1262
1465	2474
1467	2435
1463	1857
1461	564
1457	1573
1447	1813
1444	199
1445	95
1442	2419
1436	1841
1436	645
1435	2454
1428	2335
1433	252
1434	2517
1426	1373
1424	1228
1423	569
1425	365
1423	1826
1423	1254
1420	527
1418	490
1418	1798
1414	1772
1416	1510
1412	548
1417	92
1426	600
1406	775
1406	115
1414	283
1398	344
1402	155
1397	480
1398	2536
1394	2464
1396	1925
1394	814
1391	364
1399	223
1386	295
1393	1331
1388	559
1385	1591
1378	295
1385	746
1375	1523
1376	1495
1375	787
1390	670
1384	128
1373	490
1382	520
1370	191
1366	569
1367	311
1366	2181
1370	1549
1359	214
1355	513
1357	360
1353	682
1348	534
1351	2407
1376	614
1346	151
1348	493
1344	562
1345	293
1335	1222
1329	590
1344	1175
1355	2538
1343	1243
1335	2360
1329	596
1335	230
1330	3
1321	2201
1336	1532
1330	348
1325	503
1332	622
1320	645
1319	555
1316	2529
1314	1468
1313	2209
1313	530
1311	723
1311	2182
1307	1522
1305	602
1298	1202
1299	635
1299	31
1298	575
1296	1491
1284	1513
1284	604
1280	1192
1279	2437
1275	48
1279	2486
1270	573
1275	2525
1258	604
1258	1477
1253	242
1253	2174
1248	1614
1243	618
1254	2232
1241	1453
1237	2003
1236	1411
1237	1189
1234	2421
1231	1473
1235	2265
1226	2199
1222	2460
1222	1434
1219	1231
1217	1197
1213	1401
1208	2285
1196	2520
1192	2245
1185	2310
1178	776
1177	1179
1177	1631
1176	2333
1169	1116
1167	2261
1182	1210
1168	780
1165	2106
1166	1390
1155	2078
1150	1648
1148	2533
1149	1549
1147	1220
1148	1186
1134	2427
1133	2294
1127	2388
1126	1559
1123	1373
1120	2185
1119	742
1119	2109
1109	849
1104	2322
1095	1578
1092	1350
1091	1219
1098	2081
1089	2176
1095	1164
1086	2112
1085	2424
1078	836
1067	1603
1066	1332
1093	902
1052	1499
1052	1690
1052	1196
1049	2382
1050	2351
1044	2485
1038	2150
1037	1733
1035	1711
1038	1077
1048	2088
1024	1575
1066	1185
1025	1662
1012	2519
1006	1641
1001	2152
1002	1304
999	1887
990	1706
990	2299
991	1791
991	2092
988	1453
980	1565
981	2196
978	1315
969	1894
969	866
972	1202
969	1762
967	1923
957	2080
954	1286
948	2468
966	2489
944	1904
935	1746
932	1211
923	1486
922	2478
910	1279
912	751
909	1903
902	2435
895	1166
896	806
897	2539
891	2050
879	1671
874	1721
866	754
868	714
876	2180
872	1936
864	1887
866	2543
853	1760
850	2063
853	2415
849	1637
845	1104
834	2374
839	1948
831	2396
834	1442
832	784
820	2554
828	1896
856	1839
812	1163
809	1437
801	1180
799	1698
800	1540
802	2055
791	47
784	1448
785	784
779	1528
774	1209
770	1662
765	1421
764	118
759	2149
761	491
757	2394
749	2045
756	1444
759	1151
761	168
754	2050
763	64
751	266
755	2353
752	793
748	1202
748	1633
753	217
739	2495
749	326
736	2225
738	452
733	1439
727	2550
720	1428
721	1711
723	801
711	246
711	541
718	2517
706	1187
703	468
689	941
701	399
691	310
679	487
679	1235
677	1737
671	2330
656	512
663	176
653	1199
650	1982
642	253
643	529
642	1706
646	29
639	2484
636	215
638	1423
630	1687
629	274
630	186
630	146
625	2298
629	1057
626	799
621	653
631	2457
618	541
619	428
658	817
615	232
615	2517
614	283
614	2133
610	119
607	610
607	2221
604	2550
622	2001
601	147
593	2282
594	415
600	2057
599	2187
583	2125
580	158
586	14
576	2477
564	2543
570	2265
565	2229
560	51
557	2380
555	167
552	2459
570	2161
542	2313
544	2140
541	2074
538	2266
539	2203
526	2247
523	2054
515	2302
516	2328
514	2177
514	2485
517	2099
506	2244
505	2020
499	2202
497	2296
500	2269
493	2075
488	2391
473	1789
473	2508
468	2215
468	2184
454	1802
454	1792
457	1782
460	2002
451	2380
447	2458
442	2251
450	2301
420	2419
419	2293
418	2166
419	2545
409	2507
411	2375
415	2476
398	2339
393	2498
387	2269
386	2444
382	2144
370	2420
369	2210
361	2457
345	2489
347	2535
335	2180
329	2535
332	2407
325	2442
307	2112
312	2181
303	2106
304	2531
304	2241
292	2282
291	2169
291	2113
302	2478
282	2092
279	2520
269	2244
256	2401
256	2352
253	2184
233	2445
231	2307
216	2506
217	2459
224	2244
213	2133
210	2274
200	2237
213	2377
198	2440
197	2499
189	2340
177	2297
171	2083
164	2429
159	2170
155	2478
165	2251
148	2324
142	2529
152	2376
122	2263
122	2304
118	2433
104	2478
106	2082
104	2153
100	2277
98	2208
94	2244
90	2100
93	2352
83	2067
76	2399
75	2336
60	2273
46	2086
49	2175
43	2043
42	2319
35	2208
26	2055
23	2112
11	2087
7	2109
